"Land","Wahlkreisnummer","Wahlkreisname","Bevölkerung_Insgesamt_in1000","Bevölkerung_Deutsche_in1000","Bevölkerung_Ausländer_Prozent","Alter_unter18","Alter_18bis24","Alter_25bis34","Alter_35bis59","Alter_60bis74","Alter_75undÄlter","Bevölkerung_mitMigrationshintergrund","Bevölkerung_Religionszugehörigkeit_Römisch_katholisch","Bevölkerung_Religionszugehörigkeit_EvangelischeKirche","Bevölkerung_Religionszugehörigkeit_keine_OhneAngabe","Verfügbares_Einkommen_jeEinwohner","Bruttoinlandsprodukt_jeEinwohner","Absolventen_allgemeiner_Fachhochschulreife","Arbeitslosenquote_insgesamt_2017","EmpfängerInnen_SGBII_Leistungen_je1000","Dummy_West_Ost"
"Nordrhein-Westfalen",104,"Mettmann I",266.9,239.4,10.3,16.3,6.9,10.5,36.4,17.5,12.4,24.4,34.8,28.4,36.9,24519,36953,39,6.4,80.3,0
"Nordrhein-Westfalen",105,"Mettmann II",216.4,190.8,11.8,16.4,7,10.3,36.4,17.5,12.3,24.4,31.2,31.3,37.5,24519,36953,39,6.4,80.3,0
"Nordrhein-Westfalen",106,"Düsseldorf I",324,263,18.8,15.6,7.3,16,36.2,14.7,10.2,32.9,31.8,21.1,47.1,24128,77556,42.8,7.7,104.9,0
"Nordrhein-Westfalen",107,"Düsseldorf II",288.2,234.6,18.6,15.6,7.3,16,36.2,14.7,10.2,32.9,34,19.8,46.1,24128,77556,42.8,7.7,104.9,0
"Nordrhein-Westfalen",108,"Neuss I",295.7,257.7,12.8,17.5,7.5,11.7,36.8,15.9,10.6,23,48.8,19.1,32.1,23689,38839,45.4,5.7,71.2,0
"Nordrhein-Westfalen",109,"Mönchengladbach",260,225.9,13.1,16.2,8.4,12.9,35.5,16.2,10.7,25.8,51.9,18.3,29.8,20705,30713,38.7,9.9,153.4,0
"Nordrhein-Westfalen",110,"Krefeld I – Neuss II",269.4,239.9,10.9,16.4,7.1,10.6,36.9,17.2,11.7,25.2,45.4,21.4,33.2,22513,38053,42.3,7.8,97.6,0
"Nordrhein-Westfalen",111,"Viersen",297.7,271.5,8.8,16.3,7.6,10.4,37.8,16.9,11,16.8,55.5,19.1,25.5,21988,26378,42.8,6.7,70.2,0
"Nordrhein-Westfalen",112,"Kleve",310.3,269.1,13.3,16.9,8.5,11.7,36.6,16.2,10.1,18.3,62.9,17.1,20,19649,26786,30.4,6.4,62.2,0
"Nordrhein-Westfalen",113,"Wesel I",263.5,244.3,7.3,16,7.6,10.5,37.1,17.5,11.3,19,43.1,32,25,20936,26874,39.9,7.1,79,0
"Nordrhein-Westfalen",114,"Krefeld II – Wesel II",241.8,212.7,12.1,15.8,7.7,11.7,35.8,17.3,11.8,23.2,36.2,28.5,35.3,20940,31486,39.2,8.7,103.6,0
"Nordrhein-Westfalen",115,"Duisburg I",243,203.7,16.3,16.5,8.4,12.9,35.3,15.6,11.2,31.2,30.8,26.5,42.7,16761,34392,38.6,13.1,160.1,0
"Nordrhein-Westfalen",116,"Duisburg II",248.2,200,19.3,16.5,8.4,12.9,35.3,15.6,11.2,31.2,31.1,25.5,43.4,16761,34392,38.6,13.1,160.1,0
"Nordrhein-Westfalen",117,"Oberhausen – Wesel III",278.4,245.1,12,15.4,7.9,12.1,36.2,17.1,11.4,22.4,38.8,28.4,32.8,18676,27526,39.6,10,123.1,0
"Nordrhein-Westfalen",118,"Mülheim – Essen I",252.4,221.9,12.1,15.4,7.6,12.2,35.3,17.1,12.4,23.9,35.4,29.8,34.7,21940,37868,46.5,9.4,135.3,0
"Nordrhein-Westfalen",119,"Essen II",246.2,200.5,18.5,15.5,8.3,13.9,34.5,16.2,11.5,24.5,36.2,26.6,37.2,20046,44555,44,11.9,157.2,0
"Nordrhein-Westfalen",120,"Essen III",253.3,226.7,10.6,15.5,8.3,13.9,34.5,16.2,11.5,24.5,38.3,28.1,33.6,20046,44555,44,11.9,157.2,0
"Nordrhein-Westfalen",121,"Recklinghausen I",217.9,197.2,9.5,15.4,7.5,11.2,36.6,17.8,11.5,20.1,40.3,29.6,30.1,19382,24833,34.1,10.5,122.8,0
"Nordrhein-Westfalen",122,"Recklinghausen II",249,224.2,10,15.6,7.6,10.8,37,17.3,11.8,20.1,42.4,28.1,29.5,19382,24833,34.1,10.5,122.8,0
"Nordrhein-Westfalen",123,"Gelsenkirchen",260.4,216.1,17,16.8,8.3,12.6,35.4,16.1,10.8,29.4,33.7,30,36.3,16135,29716,31.7,14.1,201.6,0
"Nordrhein-Westfalen",124,"Steinfurt I – Borken I",272.2,245.2,9.9,19,8.9,11.7,36.1,14.5,9.6,15.6,65.2,16.8,18,20497,30146,30.4,4.4,52.2,0
"Nordrhein-Westfalen",125,"Bottrop – Recklinghausen III",268,242.8,9.4,16.1,7.7,11.1,36.4,17.4,11.2,21.5,46.9,25,28.1,19296,22714,35.4,9.5,115.1,0
"Nordrhein-Westfalen",126,"Borken II",260.3,242.4,6.9,18.4,8.7,11.6,36.7,14.8,9.8,14.7,73,11.9,15.1,20527,32339,28.7,3.9,48,0
